Process Name,PID,DLLs
Widgets.exe,3516,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; USER32.dll; win32u.dll; GDI32.dll; gdi32full.dll; msvcp_win.dll; ucrtbase.dll; combase.dll,; RPCRT4.dll; shcore.dll; MSVCP140_APP.dll; CONCRT140_APP.dll; VCRUNTIME140_APP.dll; VCRUNTIME140_1_APP.dll; WebView2Loader.dll; IMM32.DLL; kernel.appcore.dll; msvcrt.dll; bcryptPrimitives.dll; clbcatq.dll; Windows.Web.dll; ADVAPI32.dll; sechost.dll; bcrypt.dll; ole32.dll; SHELL32.dll; AppXDeploymentClient.dll; capauthz.dll; windows.staterepositorycore.dll; ntmarta.dll; Windows.ApplicationModel.dll; wintypes.dll; rometadata.dll; Windows.UI.Accessibility.dll; SHLWAPI.dll; Microsoft.Windows.Widgets.dll; OLEAUT32.dll; ShellCommonCommonProxyStub.dll; uxtheme.dll; windows.storage.dll; windowsudk.shellcommon.dll; USERENV.dll; XmlLite.dll; SystemSettings.DataModel.dll; OneCoreUAPCommonProxyStub.dll; profapi.dll; CFGMGR32.dll; StructuredQuery.dll; PROPSYS.dll; comctl32.dll; Windows.Storage.ApplicationData.dll; twinapi.appcore.dll; edputil.dll; Windows.Security.Authentication.Web.Core.dll; iertutil.dll; netutils.dll; srvcli.dll; vaultcli.dll; CRYPT32.dll; DPAPI.dll; CRYPTBASE.dll; Windows.Web.Http.dll; WININET.dll; SspiCli.dll; WS2_32.dll; ondemandconnroutehelper.dll; mswsock.dll; firewallapi.dll; fwbase.dll; IPHLPAPI.DLL; WINHTTP.dll; WINNSI.DLL; NSI.dll; profext.dll; MSASN1.dll; WINTRUST.dll; CRYPTSP.dll; rsaenh.dll; urlmon.dll; DNSAPI.dll; rasadhlp.dll; fwpuclnt.dll; schannel.DLL; ncrypt.dll; NTASN1.dll; ncryptsslp.dll; cryptnet.dll; Wldp.dll; Windows.UI.dll; Windows.UI.Immersive.dll; CapabilityAccessManagerClient.dll; usermgrproxy.dll; usermgrcli.dll; MrmCoreR.dll; windows.staterepositoryclient.dll; bcp47mrm.dll; Geolocation.dll; BiWinrt.dll; wpnapps.dll; CoreMessaging.dll"
svchost.exe,3540,""
PowerToys.CropAndLock.exe,3676,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; GDI32.dll; win32u.dll; dwmapi.dll; dbghelp.dll; gdi32full.dll; ucrtbase.dll; USER32.dll,; msvcp_win.dll; combase.dll; RPCRT4.dll; shcore.dll; OLEAUT32.dll; SHELL32.dll; dxgi.dll; CoreMessaging.dll; IMM32.DLL; kernel.appcore.dll; msvcrt.dll; bcryptPrimitives.dll; uxtheme.dll; windows.storage.dll; sechost.dll; bcrypt.dll; wintypes.dll; shlwapi.dll; clbcatq.dll; Windows.Web.dll; dcomp.dll; advapi32.dll; CRYPTBASE.DLL"
RtkAudUService64.exe,3688,""
RvControlSvc.exe,3692,""
svchost.exe,3748,""
svchost.exe,3768,""
svchost.exe,3776,""
PowerToys.Peek.UI.exe,3812,"ntdll.dll; KERNEL32.DLL; KERNELBASE.dll; USER32.dll; win32u.dll; GDI32.dll; gdi32full.dll; msvcp_win.dll; ucrtbase.dll; SHELL32.dll,; ADVAPI32.dll; msvcrt.dll; sechost.dll; bcrypt.dll; RPCRT4.dll; IMM32.DLL; hostfxr.dll; hostpolicy.dll; coreclr.dll; ole32.dll; combase.dll; OLEAUT32.dll; bcryptPrimitives.dll; System.Private.CoreLib.dll; clrjit.dll; kernel.appcore.dll; PowerToys.Peek.UI.dll; System.Runtime.dll; uxtheme.dll; WinRT.Runtime.dll; System.Collections.dll; System.Collections.Concurrent.dll; System.Threading.dll; Microsoft.WindowsAppRuntime.dll; SHLWAPI.dll; USERENV.dll; wintypes.dll; powrprof.dll; RoMetadata.dll; XmlLite.dll; UMPDC.dll; shcore.dll; System.Runtime.InteropServices.dll; Microsoft.WinUI.dll; Microsoft.ui.xaml.dll; urlmon.dll; DWrite.dll; d3d11.dll; VERSION.dll; d2d1.dll; iertutil.dll; srvcli.dll; netutils.dll; dxgi.dll; CoreMessagingXP.dll; Microsoft.Internal.FrameworkUdk.dll; Microsoft.UI.Windowing.Core.dll; ntmarta.dll; profapi.dll; CoreMessaging.dll; Bcp47Langs.dll; dcomp.dll; Microsoft.Internal.FrameworkUdk.System.dll; System.Runtime.CompilerServices.Unsafe.dll; System.Private.Uri.dll; System.ObjectModel.dll; System.ComponentModel.dll; System.Numerics.Vectors.dll; Microsoft.Windows.SDK.NET.dll; System.Security.Cryptography.Algorithms.dll; System.Security.Cryptography.dll; System.Linq.dll; System.Memory.dll; clbcatq.dll; twinapi.appcore.dll; dxcore.dll; directxdatabasehelper.dll; aticfx64.dll; WINMM.dll; Windows.UI.dll; atiuxp64.dll; atidxx64.dll; SETUPAPI.dll; cfgmgr32.DLL; apphelp.dll; amdihk64.dll; Windows.ApplicationModel.dll; windows.storage.dll; Windows.UI.Immersive.dll; D3DSCache.dll; TextShaping.dll; Microsoft.InteractiveExperiences.Projection.dll; Peek.Common.dll; PowerToys.ManagedCommon.dll; Microsoft.Extensions.Hosting.dll; Microsoft.Extensions.Hosting.Abstractions.dll; Microsoft.Extensions.DependencyInjection.Abstractions.dll; icu.dll; PowerToys.Interop.dll; VCRUNTIME140_1.dll; VCRUNTIME140.dll; ijwhost.dll; MSVCP140.dll; System.Runtime.Extensions.dll; System.Collections.NonGeneric.dll; System.IO.Abstractions.dll; System.Security.AccessControl.dll; System.Diagnostics.TraceSource.dll; System.Diagnostics.TextWriterTraceListener.dll; System.Diagnostics.FileVersionInfo.dll; Microsoft.Extensions.Configuration.Abstractions.dll; Microsoft.Extensions.DependencyInjection.dll; System.Diagnostics.DiagnosticSource.dll; System.Diagnostics.Tracing.dll; Microsoft.Extensions.Configuration.dll; Microsoft.Extensions.Configuration.EnvironmentVariables.dll; Microsoft.Extensions.Configuration.CommandLine.dll; Microsoft.Extensions.Primitives.dll; Microsoft.Extensions.FileProviders.Abstractions.dll; Microsoft.Extensions.FileProviders.Physical.dll; Microsoft.Extensions.Configuration.FileExtensions.dll; Microsoft.Extensions.Configuration.Json.dll; Microsoft.Extensions.Configuration.UserSecrets.dll; Microsoft.Extensions.Configuration.Binder.dll; System.IO.FileSystem.Watcher.dll; System.ComponentModel.Primitives.dll; Microsoft.Extensions.FileSystemGlobbing.dll; System.Threading.Overlapped.dll; Microsoft.Win32.Primitives.dll; Microsoft.Extensions.Options.dll; Microsoft.Extensions.Logging.dll; Microsoft.Extensions.Diagnostics.dll; Microsoft.Extensions.Logging.Abstractions.dll; Microsoft.Extensions.Diagnostics.Abstractions.dll; Microsoft.Extensions.Logging.Configuration.dll; Microsoft.Extensions.Logging.Debug.dll; Microsoft.Extensions.Logging.EventSource.dll; Microsoft.Extensions.Logging.EventLog.dll; Microsoft.Extensions.Logging.Console.dll; Microsoft.Extensions.Options.ConfigurationExtensions.dll; System.Text.Json.dll; CommunityToolkit.Mvvm.dll; Peek.FilePreviewer.dll; System.Console.dll; System.Text.Encoding.Extensions.dll; System.Threading.Thread.dll; System.Diagnostics.EventLog.dll; System.Collections.Specialized.dll; System.ComponentModel.TypeConverter.dll; Microsoft.Windows.ApplicationModel.Resources.dll; MRM.dll; bcp47mrm.dll; Windows.Globalization.dll; WinUIEx.dll; Microsoft.UI.Xaml.Controls.dll; CommunityToolkit.WinUI.Converters.dll; System.Linq.Expressions.dll; PowerToys.GPOWrapper.dll; System.Diagnostics.StackTrace.dll; PowerToys.ManagedTelemetry.dll"
BraveCrashHandler64.exe,3820,""
